Company,Industry,State,FoundedYear,FTE,6Months_growth,1Year_growth,2Year_growth,ContactName,Title,City,ZipCode,STATE_CODE,CAPITAL_RAISED,CITY,COUNTRY,US_POSTAL_CODE,GLOBAL_POSTAL_CODE,STATUS,SECTOR,SUB_SECTOR,Company_age
Spectrum Center,Telecommunications,Virginia,1991,52,0.02,0.04,0.04,Mohd Razif Wahab,CEO,McLean,22101,VA,0,McLean,United States,22101,,3A. Prospect (30+ FTEs),1. Vertical,Media & Telecom,29
Spectrum Equity,Venture Capital & Private Equity,Massachusetts,1994,64,0.07,0.02,0.02,Marc Altshuller,Founder,Boston,2110,MA,0,Boston,United States,2110,,3A. Prospect (30+ FTEs),2. Horizontal,Finance,26
Speed Digital,Internet,North Carolina,2012,41,0.01,0.05,0,Neil Pitt ,CEO,Charlotte,28269,NC,0,Charlotte,United States,28269,,3A. Prospect (30+ FTEs),2. Horizontal,IT,8
Spherexx com,Marketing and Advertising,Oklahoma,2000,35,0.05,0.12,0.03,Becca Wilson,CEO,Tulsa,74133,OK,0,Tulsa,United States,74133,,3A. Prospect (30+ FTEs),2. Horizontal,Marketing,20
Strategic Consulting Solutions,Accounting,Tennessee,2004,30,0.06,0.07,0.15,Fred Lopez,President,Knoxville,37923,TN,0,Knoxville,United States,37923,,3A. Prospect (30+ FTEs),2. Horizontal,Finance,16
Sudrania Fund Services,Financial Services,Illinois,2016,59,0.21,0.61,2.63,Nilesh Sudrania,CEO,Downers Grove,60515,IL,0,Downers Grove,United States,60515,,3A. Prospect (30+ FTEs),2. Horizontal,Finance,4
Super Systems Inc.,Electrical/Electronic Manufacturing,Ohio,Data not available,51,0.02,0,0.04,Mike Kreider,President,Cincinnati,45249,OH,0,Cincinnati,United States,45249,,3A. Prospect (30+ FTEs),1. Vertical,Manufacturing,Data not available
Systematic U.S.,Defense & Space,Virginia,Data not available,37,0.06,0.21,0.15,Michael Holm,CEO,Centreville,20120,VA,0,Centreville,United States,20120,,3A. Prospect (30+ FTEs),1. Vertical,Government,Data not available
Talisys,Financial Services,Colorado,1993,87,0.11,0.21,0.25,John Lettko,CEO,Golden,80401,CO,0,Golden,United States,80401,,3A. Prospect (30+ FTEs),2. Horizontal,Finance,27
Teaching Textbooks,E-Learning,Oklahoma,2004,51,0.02,0.02,0.13,Greg Sabouri,founder,Oklahoma City,73116,OK,0,Oklahoma City,United States, ,,3A. Prospect (30+ FTEs),1. Vertical,Education,16
TeachTown,E-Learning,Massachusetts,2001,51,0.02,0.04,0.13,Dan Feshbach,COF,Woburn,1801,MA,0,Woburn,United States, ,,3A. Prospect (30+ FTEs),1. Vertical,Education,19
Tecknocrat,Civil Engineering,Ohio,2004,37,0.03,0.06,0.1,Sujit K Nair ,CEO,Chardon,44024 ,OH,0,Chardon,United States, ,,3A. Prospect (30+ FTEs),1. Vertical,AEC,16
TeleworX,Wireless,Virginia,1992,38,0.06,0.06,0.17,John Hartin,CEO,Reston,20190,VA,0,Reston,United States,20190,,3A. Prospect (30+ FTEs),3. Infrastructure,Network / Storage,28
THE MAREK GROUP,Marketing and Advertising,Wisconsin,1972,104,0.01,0.05,0.06,Fuzzy Marek,CEO,Waukesha,53186,WI,0,Waukesha,United States,53186,,3A. Prospect (30+ FTEs),2. Horizontal,Marketing,48
"The Steel Network, Inc. - TSN",Construction,North Carolina,1996,56,0,0,0.02,Edward di girolamo,CEO,,,NC,0,0,United States, ,,3A. Prospect (30+ FTEs),1. Vertical,AEC,24
TIERONE OSS Technologies Inc,Telecommunications,Ontario,1999,71,0.07,0.08,0.13,Paul vedam,CEO,Mississauga, --,Ontario,0,Mississauga,Canada, ,,3A. Prospect (30+ FTEs),1. Vertical,Media & Telecom,21
"TotalTrax, Inc",Logistics and Supply Chain,Pennsylvania,2004,54,0.04,0.07,0.05,Anthony Andriano,president,Newport,2840,PA,3000000,Newport,United States,2840,,3A. Prospect (30+ FTEs),2. Horizontal,Supply Chain,16
TRAFiX,Financial Services,New York,2013,45,0.1,0.13,0.19,Mohammad Yusuf Jan,President,New York, --,NY,0,New York,United States, ,,3A. Prospect (30+ FTEs),2. Horizontal,Finance,7
TRANSTEX LLC,Transportation/Trucking/Railroad,Quebec,2005,52,0.02,0.06,0.06,Mathieu Boivin,CEO,"St-Laurent,","H4R 1C3,",Quebec,0,"St-Laurent,",Canada, ,,3A. Prospect (30+ FTEs),2. Horizontal,Fleet & Field,15
"Twin Oaks Software Development, Inc.",Information Technology and Services,Connecticut,1991,42,0.05,0.07,0.07,Peter Kroon,Chairman,Berlin,6037,CT,0,Berlin,United States, ,,3A. Prospect (30+ FTEs),2. Horizontal,IT,29
"Varitronics, LLC (VariQuest Visual & Kinesthetic Learning Tools)",Education Management,Minnesota,1983,42,0.02,0.05,0.18,David Grey,CEO ,Brroklyn Park ,55445,MN,0,Brroklyn Park ,United States,55445,,3A. Prospect (30+ FTEs),1. Vertical,Education,37
Vicimus,Automotive,Ontario,2011,30,0.24,0.03,0.03,Khalid Kadrie,CEO,Toronto,M5V1S,Ontario,0,Toronto,Canada, ,N6A5N6,3A. Prospect (30+ FTEs),1. Vertical,Auto,9
Wayne Reaves Software,Automotive,Georgia,1987,49,0.07,0.02,0.04,Jason Reaves,President,Macon,31220,GA,0,Macon,United States,31220,,3A. Prospect (30+ FTEs),1. Vertical,Auto,33
Wheatstone Corporation,Electrical/Electronic Manufacturing,North Carolina,1973,48,0.02,0,0.08,Gary Snow,CEO,New Bern,NC 28562,NC,10000000,New Bern,United States, ,,3A. Prospect (30+ FTEs),1. Vertical,Manufacturing,47
Whereoware,Internet,Virginia,1999,118,0.03,0.01,0.12,Eric Dean,CEO,Chantilly,20151,VA,6000000,Chantilly,United States,20151,,3A. Prospect (30+ FTEs),2. Horizontal,IT,21
WisEngineering,Defense & Space,New Jersey,1998,62,0.09,0.02,0.85,CHERYL HALL,CEO,Denville,7834,NJ,0,Denville,United States,7834,,3A. Prospect (30+ FTEs),1. Vertical,Government,22
Workamajig,Marketing and Advertising,Arizona,Data not available,31,0,0,0.03,Ron Ause,Co-founder,Anthem,85086,AZ,0,Anthem,United States,85086,,3A. Prospect (30+ FTEs),2. Horizontal,Marketing,Data not available
Workzone,Internet,Pennsylvania,2002,41,0.23,0.19,0.09,Allan Kalish,Chairman,Philadelphia,19401,PA,0,Philadelphia,United States,19401,,3A. Prospect (30+ FTEs),2. Horizontal,IT,18
"Xcira, LLC.",Information Technology and Services,Florida,1996,48,0.07,0.04,0.04,Nancy Rabenold,CEO,Tampa,33619,FL,0,Tampa,United States,33619,,3A. Prospect (30+ FTEs),2. Horizontal,IT,24
XipLink Inc.,Wireless,Quebec,2007,31,0,0.03,0.36,Jack Waters ,CEO,Montreal,"H2W 2R2,",Quebec,0,Montreal,Canada, ,,3A. Prospect (30+ FTEs),3. Infrastructure,Network / Storage,13
Yodel Technologies,Marketing and Advertising,Florida,2015,33,0.06,0,0.19,Robert Pulsipher,COO,Palm Harbor,34683,FL,0,Palm Harbor,United States,34683,,3A. Prospect (30+ FTEs),2. Horizontal,Marketing,5
